[2026-03-10 02:52:07] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 02:52:08] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-10 02:52:10] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 02:52:11] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-10 02:54:26] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 02:54:28] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-10 02:55:48] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 02:55:49] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-10 02:55:52] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 02:55:52] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-10 03:02:27] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 03:02:30] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-10 03:08:13] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 03:08:13] IP: 127.0.0.1 | OS: Android | {'status': 'denied', 'error': 'Permission denied'}
[2026-03-10 03:29:59] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 03:29:59] IP: 127.0.0.1 | OS: Android | {'status': 'denied', 'error': 'Permission denied'}
[2026-03-10 03:31:35] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 03:31:35] IP: 127.0.0.1 | OS: Android | {'status': 'denied', 'error': 'Permission denied'}
[2026-03-10 03:31:52] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 03:31:57] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-10 03:41:54] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 03:41:54] IP: 127.0.0.1 | OS: Android | {'status': 'denied', 'error': 'Permission denied'}
[2026-03-10 03:41:56] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 03:41:57] IP: 127.0.0.1 | OS: Android | {'status': 'denied', 'error': 'Permission denied'}
[2026-03-10 03:43:07] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 03:43:07] IP: 127.0.0.1 | OS: Android | {'status': 'denied', 'error': 'Permission denied'}
[2026-03-10 03:43:29] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 03:43:31] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-10 03:43:32] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 03:43:33] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-10 03:43:34] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 03:43:45] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 03:43:45] IP: 127.0.0.1 | OS: Android | {'status': 'denied', 'error': 'Permission denied'}
[2026-03-10 03:45:16] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 03:45:17] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-10 03:45:20] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 03:45:21] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 03:45:22] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-10 04:14:07] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 04:14:11] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-10 07:19:45] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 07:19:49] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-10 07:22:08] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
