[2026-03-13 10:29:57] IP: 127.0.0.1 | OS: Android | {'error': 'User denied Geolocation'}
[2026-03-13 10:31:21] IP: 127.0.0.1 | OS: Android | {'lat': 59.4383476, 'lon': 24.7448184, 'acc': 20}
[2026-03-13 10:31:21] IP: 127.0.0.1 | OS: Android | {'lat': 59.4383476, 'lon': 24.7448184, 'acc': 20}
[2026-03-13 10:42:50] IP: 127.0.0.1 | OS: Android | {'error': 'User denied Geolocation'}
[2026-03-13 10:43:26] IP: 127.0.0.1 | OS: Android | {'lat': 59.4383488, 'lon': 24.7448276, 'acc': 100}
[2026-03-13 10:43:46] IP: 127.0.0.1 | OS: Android | {'error': 'User denied Geolocation'}
[2026-03-13 10:53:22] IP: 127.0.0.1 | OS: Android | {'lat': 59.4383429, 'lon': 24.7448358, 'acc': 34.400001525878906}
[2026-03-14 04:21:40] IP: 127.0.0.1 | OS: Android | {'lat': 59.4383457, 'lon': 24.7448297, 'acc': 100}
[2026-03-14 04:23:23] IP: 127.0.0.1 | OS: Windows | {'lat': 59.43821, 'lon': 24.745106, 'acc': 59}
[2026-03-16 19:44:15] IP: 127.0.0.1 | OS: Windows | {'lat': 59.405469315000616, 'lon': 24.69237700852915, 'acc': 100}
[2026-03-16 19:45:16] IP: 127.0.0.1 | OS: Windows | {'lat': 59.40547447585267, 'lon': 24.69237720217802, 'acc': 97}
[2026-03-16 19:47:54] IP: 127.0.0.1 | OS: Windows | {'lat': 59.4054622827952, 'lon': 24.692346978260716, 'acc': 99}
[2026-03-16 20:58:51] IP: 127.0.0.1 | OS: Windows | {'lat': 59.405463923339944, 'lon': 24.692365919323418, 'acc': 97}
[2026-03-16 21:24:13] IP: 127.0.0.1 | OS: Windows | {'lat': 59.40547696649738, 'lon': 24.69238010089235, 'acc': 97}
